fcustomerid,county,Date,Year,Month,Week,Hour,Holiday,KWH_A
11,台北市,109/12/07,2020,12,一,1,N,0.0338
11,台北市,109/12/07,2020,12,一,2,N,0.0271
11,台北市,109/12/07,2020,12,一,3,N,0.01785
11,台北市,109/12/07,2020,12,一,4,N,0.02338
11,台北市,109/12/07,2020,12,一,5,N,0.02868
11,台北市,109/12/07,2020,12,一,6,N,0.02178
11,台北市,109/12/07,2020,12,一,7,N,0.0891
11,台北市,109/12/07,2020,12,一,8,N,0.03418
11,台北市,109/12/07,2020,12,一,9,N,0.02488
11,台北市,109/12/07,2020,12,一,10,N,0.0239
11,台北市,109/12/07,2020,12,一,11,N,0.02493
11,台北市,109/12/07,2020,12,一,12,N,0.03695
11,台北市,109/12/07,2020,12,一,13,N,0.02438
11,台北市,109/12/07,2020,12,一,14,N,0.02713
11,台北市,109/12/07,2020,12,一,15,N,0.0367
11,台北市,109/12/07,2020,12,一,16,N,0.09488
11,台北市,109/12/07,2020,12,一,17,N,0.07755
11,台北市,109/12/07,2020,12,一,18,N,0.05813
11,台北市,109/12/07,2020,12,一,19,N,0.09378
11,台北市,109/12/07,2020,12,一,20,N,0.0503
11,台北市,109/12/07,2020,12,一,21,N,0.0519
11,台北市,109/12/07,2020,12,一,22,N,0.04543
11,台北市,109/12/07,2020,12,一,23,N,0.0185
11,台北市,109/12/08,2020,12,二,0,N,0.02515
11,台北市,109/12/08,2020,12,二,1,N,0.02968
11,台北市,109/12/08,2020,12,二,2,N,0.02248
11,台北市,109/12/08,2020,12,二,3,N,0.01818
11,台北市,109/12/08,2020,12,二,4,N,0.01788
11,台北市,109/12/08,2020,12,二,5,N,0.02443
11,台北市,109/12/08,2020,12,二,6,N,0.067
11,台北市,109/12/08,2020,12,二,7,N,0.03415
11,台北市,109/12/08,2020,12,二,8,N,0.03305
11,台北市,109/12/08,2020,12,二,9,N,0.01745
11,台北市,109/12/08,2020,12,二,10,N,0.01758
11,台北市,109/12/08,2020,12,二,11,N,0.0242
11,台北市,109/12/08,2020,12,二,12,N,0.03383
11,台北市,109/12/08,2020,12,二,13,N,0.02945
11,台北市,109/12/08,2020,12,二,14,N,0.01963
11,台北市,109/12/08,2020,12,二,15,N,0.02378
11,台北市,109/12/08,2020,12,二,16,N,0.04388
11,台北市,109/12/08,2020,12,二,17,N,0.04703
11,台北市,109/12/08,2020,12,二,18,N,0.04693
11,台北市,109/12/08,2020,12,二,19,N,0.04648
11,台北市,109/12/08,2020,12,二,20,N,0.05563
11,台北市,109/12/08,2020,12,二,21,N,0.05278
11,台北市,109/12/08,2020,12,二,22,N,0.04385
11,台北市,109/12/08,2020,12,二,23,N,0.01918
11,台北市,109/12/09,2020,12,三,0,N,0.0211
11,台北市,109/12/09,2020,12,三,1,N,0.03068
11,台北市,109/12/09,2020,12,三,2,N,0.0224
11,台北市,109/12/09,2020,12,三,3,N,0.0169
11,台北市,109/12/09,2020,12,三,4,N,0.01755
11,台北市,109/12/09,2020,12,三,5,N,0.0232
11,台北市,109/12/09,2020,12,三,6,N,0.0764
11,台北市,109/12/09,2020,12,三,7,N,0.0361
11,台北市,109/12/09,2020,12,三,8,N,0.03823
11,台北市,109/12/09,2020,12,三,9,N,0.03273
11,台北市,109/12/09,2020,12,三,10,N,0.02365
11,台北市,109/12/09,2020,12,三,11,N,0.03075
11,台北市,109/12/09,2020,12,三,12,N,0.03913
11,台北市,109/12/09,2020,12,三,13,N,0.03395
11,台北市,109/12/09,2020,12,三,14,N,0.02283
11,台北市,109/12/09,2020,12,三,15,N,0.0153
11,台北市,109/12/09,2020,12,三,16,N,0.01778
11,台北市,109/12/09,2020,12,三,17,N,0.0153
11,台北市,109/12/09,2020,12,三,18,N,0.01758
11,台北市,109/12/09,2020,12,三,19,N,0.01538
11,台北市,109/12/09,2020,12,三,20,N,0.01715
11,台北市,109/12/09,2020,12,三,21,N,0.02813
11,台北市,109/12/09,2020,12,三,22,N,0.0518
11,台北市,109/12/09,2020,12,三,23,N,0.03625
11,台北市,109/12/10,2020,12,四,0,N,0.02418
11,台北市,109/12/10,2020,12,四,1,N,0.02633
11,台北市,109/12/10,2020,12,四,2,N,0.01708
11,台北市,109/12/10,2020,12,四,3,N,0.01595
11,台北市,109/12/10,2020,12,四,4,N,0.02003
11,台北市,109/12/10,2020,12,四,5,N,0.01565
11,台北市,109/12/10,2020,12,四,6,N,0.02413
11,台北市,109/12/10,2020,12,四,7,N,0.0882
11,台北市,109/12/10,2020,12,四,8,N,0.04358
11,台北市,109/12/10,2020,12,四,9,N,0.0347
11,台北市,109/12/10,2020,12,四,10,N,0.04723
11,台北市,109/12/10,2020,12,四,11,N,0.0323
